Start,End,Open,High,Low,Close,Volume,Market Cap
2025-02-15,2025-02-16,1.00016,1.0003250000000001,1.000075,1.0002550000000001,122766914306.53659,138635035497.31708
2025-02-14,2025-02-15,1.0008050000000002,1.0008599999999999,0.99999,1.000095,129479642591.13937,138686318161.2195
2025-02-13,2025-02-14,1.0006599999999999,1.0008599999999999,0.999605,1.000855,154971654558.85367,138666545949.83972
2025-02-12,2025-02-13,1.00073,1.00089,1.00047,1.00061,137553593523.8432,138708295065.9094
2025-02-11,2025-02-12,1.00053,1.0008400000000002,1.000365,1.000775,121619901434.2892,138703692496.87457
2025-02-10,2025-02-11,1.00065,1.000925,1.000505,1.00053,129710005115.32404,138713791103.09756
2025-02-09,2025-02-10,1.00065,1.0009299999999999,1.00017,1.000695,95358179670.12195,138675538587.25784
2025-02-08,2025-02-09,1.0005899999999999,1.000785,1.000005,1.00056,138978576605.1777,138664198784.55054
2025-02-07,2025-02-08,1.00067,1.00088,0.99996,1.0005199999999999,153813891893.3554,138678255213.75262
2025-02-06,2025-02-07,0.999935,1.001,0.999915,1.0006750000000002,141709181572.31708,138680544424.34494
2025-02-05,2025-02-06,1.000035,1.0003449999999998,0.99977,0.9999450000000001,189676383550.12195,138610788700.2439
2025-02-04,2025-02-05,1.00038,1.0006599999999999,0.9999100000000001,1.00002,270724558497.7805,138650050593.76306
2025-02-03,2025-02-04,0.9994149999999999,1.0013450000000002,0.99926,1.00042,409104757320.95123,138684161763.4704
2025-02-02,2025-02-03,1.00027,1.0003799999999998,0.9990349999999999,0.99943,192930632068.82925,138594954993.63068
2025-02-01,2025-02-02,1.0002499999999999,1.00039,0.999965,1.0002849999999999,180869684716.40417,138630225257.27527
2025-01-31,2025-02-01,1.000155,1.000385,0.999845,1.000245,168894062774.57492,138626593429.5122
2025-01-30,2025-01-31,1.000365,1.000595,1.0000550000000001,1.000195,160963077658.86758,138656626037.28918
2025-01-29,2025-01-30,1.000055,1.000365,0.9997050000000001,1.000335,135873018193.1568,138611428616.71777
2025-01-28,2025-01-29,1.0007000000000001,1.00084,1,1.0001,181745842303.88153,138671414144.54355
2025-01-27,2025-01-28,1.000005,1.000845,0.999745,1.00078,186580412077.13937,138635455668.8502
2025-01-26,2025-01-27,0.99986,1.00011,0.99977,1.00011,99728772506.71428,138594930845.8711
2025-01-25,2025-01-26,0.9998100000000001,1.00008,0.99971,0.9998549999999999,133733765700.28223,138588671738.34842
2025-01-24,2025-01-25,1.00017,1.0002499999999999,0.9997499999999999,0.9998,217287107674.52612,138606021926.28223
2025-01-23,2025-01-24,0.999765,1.00055,0.999145,1.00027,179295188924.4843,138335738364.20905
2025-01-22,2025-01-23,0.99997,1.000235,0.9996799999999999,0.999765,201071731679.3763,137445705964.5366
2025-01-21,2025-01-22,0.99921,1.00014,0.99899,0.999945,315702113001.9408,137384257546.13937
2025-01-20,2025-01-21,0.99919,0.999795,0.9988,0.999285,438575020302.1568,137347720389.81184
2025-01-19,2025-01-20,0.99934,0.99953,0.99861,0.999115,278153325289.1742,137333762132.89198
2025-01-18,2025-01-19,1.000015,1.0001600000000002,0.99918,0.9993,213626702630.9338,137394549635.38676
2025-01-17,2025-01-18,1.00009,1.00027,0.99939,1.000015,196465862933.80835,137426683080.18816
2025-01-16,2025-01-17,1.000025,1.000125,0.99935,1.00006,198300118812.17075,137415473850.29268
2025-01-15,2025-01-16,1.0005600000000001,1.0007350000000002,1.000025,1.000045,162135569006.75262,137509903410.09756
2025-01-14,2025-01-15,1.0004250000000001,1.00064,1.00024,1.0004600000000001,196159946364.1359,137511392865.54007
2025-01-13,2025-01-14,1.000045,1.000705,0.99991,1.000515,146000390949.6934,137495506937.19165
2025-01-12,2025-01-13,1.00048,1.00048,0.99991,1,84914602308.63763,137502829946.59583
2025-01-11,2025-01-12,1.00045,1.00055,1.0001950000000002,1.000475,134358893399.01393,137575761750.40765
2025-01-10,2025-01-11,1.000765,1.000885,1.00038,1.000445,179135818882.18466,137613534242.14633
2025-01-09,2025-01-10,1.000545,1.000845,1.0003,1.00078,187027158316.7805,137596097467.13242
2025-01-08,2025-01-09,1.00017,1.00069,1.00009,1.00054,204147291639.5157,137525352011.10104
2025-01-07,2025-01-08,1.000585,1.0006,0.99966,1.000185,162901326054.7073,137294228774.45296
2025-01-06,2025-01-07,1.00019,1.0007,0.99991,1.00057,129254918224.48251,137303697660.95105
2025-01-05,2025-01-06,1.000195,1.0002499999999999,0.999905,1.000165,104935656750.1533,137289715189.80487
2025-01-04,2025-01-05,0.99987,1.00023,0.99986,1.00013,138657041320.61325,138099080836.38675
2025-01-03,2025-01-04,0.9998049999999999,1.00031,0.999705,0.999925,142560942685.20905,139840332201.6864
2025-01-02,2025-01-03,0.999635,1.000205,0.9994449999999999,0.999755,137447074254.38675,139831271300.71082
2025-01-01,2025-01-02,0.9996050000000001,0.9998400000000001,0.999345,0.9996400000000001,117374873192.77003,139802158984.03833
2024-12-31,2025-01-01,0.9996700000000001,1.000235,0.9995399999999999,0.999655,156603463061.20557,139828518190.1568
2024-12-30,2024-12-31,0.9998750000000001,1.000045,0.99857,0.9997400000000001,132269832307.47736,139741585679.39026
2024-12-29,2024-12-30,0.9998400000000001,1.000075,0.9995700000000001,0.9998,96847252454.27527,139834850344.39374
2024-12-28,2024-12-29,0.9998750000000001,1.000005,0.9997750000000001,0.9998400000000001,127427884946.5749,139830330857.6446
2024-12-27,2024-12-28,0.999655,1.00011,0.999435,0.9998800000000001,149699799694.63763,139818195243.83276
2024-12-26,2024-12-27,0.999675,1.000175,0.99939,0.99973,141283583010.03137,139823813538.44598
2024-12-25,2024-12-26,0.9999399999999999,0.999975,0.999555,0.99964,154059702720.4965,139818330583.09155
2024-12-24,2024-12-25,0.9996149999999999,1.000245,0.9992449999999999,0.99997,188765252150.2927,139960047851.59583
2024-12-23,2024-12-24,0.9996849999999999,0.9999,0.99944,0.99964,188516644393.14285,140582163256.52612
2024-12-22,2024-12-23,0.9998199999999999,1,0.99956,0.99963,180102639683.38327,140601939582.7561
2024-12-21,2024-12-22,1.000025,1.00017,0.99964,0.999825,285756995090.4599,140609321405.18466
2024-12-20,2024-12-21,0.999735,1.000325,0.999175,1.000045,363722828807.8293,140597507549.3136
2024-12-19,2024-12-20,0.999675,1.000075,0.9989399999999999,0.9997,315115282274.2578,140512390773.4634
2024-12-18,2024-12-19,0.99959,0.99995,0.99925,0.99962,258297329157.41812,140196760156.5157
2024-12-17,2024-12-18,0.999585,0.9997050000000001,0.999295,0.999595,262303205492.79443,140183115966.45297
2024-12-16,2024-12-17,0.99957,1.000025,0.998995,0.99956,238333225736.84668,140174133867.15332
2024-12-15,2024-12-16,0.999755,0.999835,0.9995350000000001,0.99954,166586264833.82578,138421998497.89548
2024-12-14,2024-12-15,0.9998750000000001,0.99997,0.99968,0.9997,197604545049.67944,137676122886.42856
2024-12-13,2024-12-14,1.0000200000000001,1.000365,0.999725,0.99988,255650843545.67596,137714663349.4216
2024-12-12,2024-12-13,1.00036,1.000475,0.99967,1.000025,279449779858.8467,137714087581.50522
2024-12-11,2024-12-12,1.00077,1.00088,1.0002550000000001,1.000365,343120789093.0592,137792099332.35193
2024-12-10,2024-12-11,1.000785,1.000925,1.00043,1.000735,448160191082.0279,137793284454.58536
2024-12-09,2024-12-10,1.00101,1.00101,1.00002,1.00079,261887123806.10104,137776841483.33102
2024-12-08,2024-12-09,1.0009199999999998,1.00103,1.0006249999999999,1.000885,198955930028.67944,137817154831.63763
2024-12-07,2024-12-08,1.001,1.0013200000000002,1.000875,1.00097,275091788795.51917,137308225883.12892
2024-12-06,2024-12-07,1.000315,1.001295,0.9997499999999999,1.0009350000000001,396099680930.53845,135077709117.37762
2024-12-05,2024-12-06,1.001385,1.0015900000000002,1.000135,1.00034,432384500612.4161,135082603463.82867
2024-12-04,2024-12-05,1.0010400000000002,1.001785,1.0007700000000002,1.0012249999999998,372978020261.5122,132142237691.14635
2024-12-03,2024-12-04,1.000725,1.001185,1.00055,1.001025,371614230717.223,130818762529.1359
2024-12-02,2024-12-03,1.0008499999999998,1.001095,1.0003549999999999,1.0007100000000002,301771032060.3415,130813795670.83624
2024-12-01,2024-12-02,1.000775,1.0010750000000002,1.0006249999999999,1.000865,191136138884.4913,130831884508.75958
2024-11-30,2024-12-01,1.00075,1.00085,1.000265,1.000835,217710421473.8641,130806977342.67247
2024-11-29,2024-11-30,1.00057,1.0012400000000001,1.0005099999999998,1.000795,193893846137.3345,130822579335.4007
2024-11-28,2024-11-29,1.000985,1.001095,1.00049,1.00062,229473857306.65506,130812133219.48083
2024-11-27,2024-11-28,1.000255,1.0012750000000001,0.99996,1.00091,250089389937.27875,130798630925.65506
2024-11-26,2024-11-27,1.0004,1.000825,0.999935,1.0002499999999999,297671691578.1011,130782325237.65506
2024-11-25,2024-11-26,1.000085,1.0005950000000001,0.9995850000000001,1.00045,265385358370.1986,130735555696.70383
2024-11-24,2024-11-25,0.99972,1.00042,0.99951,1.0000200000000001,258967483752.1777,130703058187.39722
2024-11-23,2024-11-24,0.9999499999999999,1.00092,0.99858,0.99973,274419380964.47388,130668053336.97562
2024-11-22,2024-11-23,1.000505,1.00058,0.999755,0.99992,274291696104.58884,129394474169.28572
2024-11-21,2024-11-22,1.00035,1.00054,0.99952,1.00054,251279710894.45804,124012324093.55594
2024-11-20,2024-11-21,1.00057,1.0005950000000001,0.99995,1.00037,214594312639.4216,124055832045.54007
2024-11-19,2024-11-20,1.0005950000000001,1.00074,1.000265,1.00047,232680588941.6411,124076925036.03833
2024-11-18,2024-11-19,1.000175,1.000915,1.000005,1.00055,205454682234.25436,124062170961.2439
2024-11-17,2024-11-18,1.00024,1.000405,0.999865,1.00022,206986474580.42856,124026650131.96864
2024-11-16,2024-11-17,1.00022,1.00033,1.000025,1.000235,227961285226.72125,124034261583.87108
2024-11-15,2024-11-16,1.000185,1.000565,0.9998549999999999,1.0001600000000002,262695459151.54355,124040965624.5749
2024-11-14,2024-11-15,1.0009199999999998,1.0009199999999998,0.999835,1.000115,351428096769.10455,124047935407.21254
2024-11-13,2024-11-14,1.000445,1.001455,1.00031,1.0009000000000001,369160113030.9582,124106221456.27527
2024-11-12,2024-11-13,1.00057,1.0011,0.99995,1.00045,407353581131.0174,120237947882.0209
2024-11-11,2024-11-12,1.000415,1.00129,1.00034,1.000375,292957518850.3763,119931679693.10104
2024-11-10,2024-11-11,1.000405,1.00056,1.00001,1.0003950000000001,199156735733.37283,119887923446.2892
2024-11-09,2024-11-10,1.00035,1.00043,1.0001,1.000335,145778896977.18466,119889406001.09756
2024-11-08,2024-11-09,1.0003549999999999,1.0008249999999999,1.000175,1.000295,158737364319.18466,119910410252.40417
2024-11-07,2024-11-08,1.0004849999999998,1.00083,1.000095,1.0003600000000001,201092728216.78397,119907622631.81184
2024-11-06,2024-11-07,1.0006,1.0008949999999999,0.999815,1.00054,231964762260.80835,119913270956.72473
2024-11-05,2024-11-06,1.000025,1.00071,0.9999499999999999,1.000645,110037419968.80487,119889176309.4669
2024-11-04,2024-11-05,1.00016,1.000245,0.9997199999999999,1.000045,95662156084.7317,119854198457.36586
2024-11-03,2024-11-04,0.99981,1.00042,0.9997199999999999,1.00016,77974481876.05923,119868562533.85365
2024-11-02,2024-11-03,1.0001,1.0002149999999999,0.9996849999999999,0.99983,94143933097.99652,119856274034.05576
2024-11-01,2024-11-02,0.99924,1.0000749999999998,0.999175,1.00001,118109199924.03484,119815910958.32404
2024-10-31,2024-11-01,1.0003600000000001,1.00042,0.999085,0.9992350000000001,103670325760.86063,119836165579.8676
2024-10-30,2024-10-31,0.99929,1.00049,0.998985,1.00037,128894035466.9791,119839846909.51917
2024-10-29,2024-10-30,0.999935,1.000095,0.999385,0.999405,132039631762.63414,119837115667.75958
2024-10-28,2024-10-29,0.999465,1.0001099999999998,0.999225,0.999905,83674267243.18466,119815572685.24739
2024-10-27,2024-10-28,0.99922,0.99945,0.999115,0.9994149999999999,62037359134.63066,119767617258.64111
2024-10-26,2024-10-27,0.998975,0.9996,0.998975,0.999235,127219645533.85365,119771620156.50174
2024-10-25,2024-10-26,0.999555,0.99977,0.998475,0.9988999999999999,101634854661.43555,119787915730.32753
